Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository,Tags
1979.486.1,False,False,1,The American Wing,Coin,One-dollar Liberty Head Coin,,,,,,Maker,,James Barton Longacre,American, Delaware County, Pennsylvania 1794Ð1869 Philadelphia, Pennsylvania,,Longacre, James Barton,American,1794      ,1869      ,1853,1853,1853,Gold,Dimensions unavailable,Gift of Heinz L. Stoppelmann, 1979,,,,,,,,,,,,Metal
1980.264.5,False,False,2,The American Wing,Coin,Ten-dollar Liberty Head Coin,,,,,,Maker,,Christian Gobrecht,1785Ð1844,,Gobrecht, Christian,,1785      ,1844      ,1901,1901,1901,Gold,Dimensions unavailable,Gift of Heinz L. Stoppelmann, 1980,,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/2,
67.265.9,False,False,3,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,1909Ð27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),Gift of C. Ruxton Love, Jr., 1967,,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/3,
67.265.10,False,False,4,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,1909Ð27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),Gift of C. Ruxton Love, Jr., 1967,,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/4,
67.265.11,False,False,5,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,1909Ð27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),Gift of C. Ruxton Love, Jr., 1967,,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/5,
