Province/State,Country/Region,lat,long,pop,urbanpop,density,medianage,smokers,tests,testpop,health_exp_pc,hospibed,Year,Month,Code,Entity,Weekly deaths,Weekly cases,Date_String,New_Date,score,temperature,feels_like,humidity
,Afghanistan,33.0,65.0,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,2021,7,AFG,Afghanistan,13384,218353,2021-07-01,2021-07-01,100,26.84,30.0,87.0
,Afghanistan,33.0,65.0,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,2021,5,AFG,Afghanistan,2005,70348,2021-01-01,2021-01-01,100,18.82,18.61,71.0
